company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
fiat,bravo,1998,with mileage,400000.0,diesel,1900.0,purple,mechanics,front-wheel drive,C,1000
ford,galaxy,1998,with mileage,3400.0,petrol,2300.0,silver,mechanics,front-wheel drive,M,4200
bmw,5-seriya,2010,with mileage,139000.0,petrol,4400.0,black,auto,all-wheel drive,E,14990
skoda,octavia,2005,with mileage,326000.0,diesel,1900.0,white,mechanics,front-wheel drive,C,5500
renault,19,1995,with mileage,265314.0,petrol,1700.0,blue,mechanics,front-wheel drive,C,665
bmw,z4,2002,with mileage,200002.0,petrol,3000.0,gray,auto,rear drive,,12000
toyota,highlander,2012,with mileage,21000.0,petrol,2700.0,silver,auto,front-wheel drive,J,20900
volvo,s80,2002,with mileage,0.0,diesel,2400.0,silver,auto,front-wheel drive,E,6400
mazda,millenia,2001,with mileage,240000.0,petrol,2500.0,other,auto,front-wheel drive,,2400
volkswagen,touran,2003,with mileage,310000.0,diesel,1900.0,gray,mechanics,front-wheel drive,M,5000
mitsubishi,outlander,2014,with mileage,86000.0,petrol,2000.0,silver,auto,part-time four-wheel drive,J,21750
mercedes-benz,e-klass,2010,with mileage,118000.0,petrol,3500.0,white,auto,rear drive,E,14500
renault,scenic,2015,with mileage,122000.0,diesel,1500.0,white,mechanics,front-wheel drive,M,9100
fiat,marea,1998,with mileage,300000.0,petrol,2000.0,black,mechanics,front-wheel drive,C,1000
toyota,land-cruiser-prado,2011,with mileage,195000.0,petrol,2700.0,black,auto,all-wheel drive,J,23500
volkswagen,golf,1997,with mileage,365000.0,petrol,1600.0,black,mechanics,front-wheel drive,C,1500
jeep,grand-cherokee,1995,with mileage,370000.0,petrol,5200.0,black,auto,all-wheel drive,J,2950
volkswagen,golf,1991,with mileage,999999.0,diesel,1600.0,white,mechanics,front-wheel drive,C,750
lada-vaz,2104,1988,with damage,350000.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,B,238
audi,100,1983,with mileage,350000.0,petrol,2200.0,blue,mechanics,front-wheel drive,E,650
mazda,3,2004,with mileage,188000.0,petrol,2300.0,purple,auto,front-wheel drive,C,5000
opel,corsa,1991,with mileage,57000.0,petrol,1200.0,green,mechanics,front-wheel drive,B,999
dacia,logan,2010,with mileage,227000.0,petrol,1400.0,other,mechanics,front-wheel drive,B,5200
volkswagen,sharan,2006,with mileage,240000.0,diesel,2000.0,gray,mechanics,front-wheel drive,,11000
opel,corsa,2010,with mileage,192.0,petrol,1000.0,silver,mechanics,front-wheel drive,B,4450
mitsubishi,lancer,2007,with mileage,130000.0,petrol,2000.0,red,auto,front-wheel drive,C,6099
citroen,xm,1995,with mileage,380000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,,700
lancia,dedra,1992,with mileage,290000.0,diesel,1900.0,blue,mechanics,front-wheel drive,,900
volvo,460,1996,with mileage,340000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,C,1200
suzuki,liana,2001,with mileage,280000.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,C,2700
toyota,land-cruiser-prado,1998,with mileage,350000.0,petrol,3500.0,black,mechanics,part-time four-wheel drive,J,10000
opel,vectra,1996,with mileage,180000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D,2000
mercedes-benz,s-klass,1979,with mileage,180000.0,petrol,2800.0,white,auto,rear drive,S,5000
renault,laguna,1997,with mileage,350000.0,petrol,2000.0,blue,mechanics,front-wheel drive,D,1300
ford,mondeo,2013,with mileage,124000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D,8000
peugeot,206,2001,with mileage,213380.0,petrol,1400.0,silver,mechanics,front-wheel drive,B,2662
mitsubishi,carisma,2000,with mileage,285000.0,diesel,1900.0,silver,mechanics,front-wheel drive,M,2500
mercedes-benz,vito,1998,with mileage,630000.0,diesel,2300.0,blue,mechanics,front-wheel drive,M,5000
jeep,cherokee,2003,with mileage,287000.0,diesel,2700.0,silver,auto,part-time four-wheel drive,J,5850
nissan,almera,2001,with mileage,330000.0,petrol,1500.0,black,mechanics,front-wheel drive,C,1680
renault,clio,2003,with mileage,219000.0,petrol,1400.0,other,auto,front-wheel drive,B,3300
peugeot,605,1994,with mileage,350000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,E,1500
skoda,octavia,2013,with mileage,365000.0,diesel,1600.0,silver,mechanics,front-wheel drive,C,10500
mercedes-benz,s-klass,1997,with mileage,367000.0,diesel,3000.0,blue,auto,rear drive,S,8490
